round 189, feat 842, thresh 0.0593, roundErr 0.4792
round 190, feat 262, thresh 0.0000, roundErr 0.5226
round 191, feat 1, thresh 0.0000, roundErr 0.4775
round 192, feat 159, thresh 0.0646, roundErr 0.5226
round 193, feat 517, thresh 0.1107, roundErr 0.4782
round 194, feat 240, thresh 0.1370, roundErr 0.5226
round 195, feat 489, thresh 0.1522, roundErr 0.4780
round 196, feat 361, thresh 0.1234, roundErr 0.5226
round 197, feat 412, thresh 0.0610, roundErr 0.4779
round 198, feat 141, thresh 0.2559, roundErr 0.5226
round 199, feat 195, thresh 0.1044, roundErr 0.4778
function 1, time 601.707658s
round 0, feat 797, thresh 0.0487, roundErr 0.3718
round 1, feat 965, thresh 0.0283, roundErr 0.3695
round 2, feat 92, thresh 0.1510, roundErr 0.5692
round 3, feat 455, thresh 0.0421, roundErr 0.3924
round 4, feat 283, thresh 0.0000, roundErr 0.5904
round 5, feat 232, thresh 0.0525, roundErr 0.4191
round 6, feat 340, thresh 0.0627, roundErr 0.5820
round 7, feat 451, thresh 0.0740, roundErr 0.4177
round 8, feat 92, thresh 0.1510, roundErr 0.5813
round 9, feat 240, thresh 0.0000, roundErr 0.4295
round 10, feat 272, thresh 0.1338, roundErr 0.5656
round 11, feat 1030, thresh 0.0747, roundErr 0.4357
round 12, feat 336, thresh 0.1744, roundErr 0.5577
round 13, feat 455, thresh 0.0421, roundErr 0.4385
round 14, feat 100, thresh 0.1565, roundErr 0.5592
round 15, feat 250, thresh 0.0000, roundErr 0.4413
round 16, feat 71, thresh 0.1400, roundErr 0.5607
round 17, feat 426, thresh 0.1504, roundErr 0.4438
round 18, feat 340, thresh 0.0627, roundErr 0.5571
round 19, feat 480, thresh 0.0000, roundErr 0.4415
round 20, feat 283, thresh 0.0000, roundErr 0.5581
round 21, feat 451, thresh 0.0740, roundErr 0.4439
round 22, feat 923, thresh 0.1438, roundErr 0.5583
round 23, feat 232, thresh 0.2101, roundErr 0.4551
round 24, feat 561, thresh 0.1669, roundErr 0.5560
round 25, feat 919, thresh 0.0513, roundErr 0.4548
round 26, feat 290, thresh 0.0828, roundErr 0.5510
round 27, feat 250, thresh 0.0000, roundErr 0.4477
round 28, feat 857, thresh 0.1517, roundErr 0.5530
round 29, feat 755, thresh 0.0669, roundErr 0.4578
round 30, feat 272, thresh 0.1577, roundErr 0.5420
round 31, feat 517, thresh 0.0646, roundErr 0.4499
round 32, feat 562, thresh 0.1113, roundErr 0.5507
round 33, feat 240, thresh 0.0000, roundErr 0.4514
round 34, feat 92, thresh 0.1688, roundErr 0.5501
round 35, feat 602, thresh 0.0361, roundErr 0.4524
round 36, feat 340, thresh 0.0627, roundErr 0.5472
round 37, feat 426, thresh 0.1824, roundErr 0.4529
round 38, feat 143, thresh 0.1185, roundErr 0.5443
round 39, feat 451, thresh 0.0444, roundErr 0.4538
round 40, feat 338, thresh 0.0000, roundErr 0.5456
round 41, feat 232, thresh 0.2101, roundErr 0.4541
round 42, feat 123, thresh 0.0000, roundErr 0.5429
round 43, feat 250, thresh 0.0000, roundErr 0.4552
round 44, feat 44, thresh 0.0830, roundErr 0.5452
round 45, feat 635, thresh 0.0495, roundErr 0.4567
round 46, feat 290, thresh 0.0828, roundErr 0.5411
round 47, feat 401, thresh 0.0656, roundErr 0.4566
round 48, feat 336, thresh 0.1526, roundErr 0.5438
round 49, feat 412, thresh 0.0610, roundErr 0.4581
round 50, feat 132, thresh 0.0000, roundErr 0.5426
round 51, feat 517, thresh 0.0646, roundErr 0.4586
round 52, feat 272, thresh 0.1577, roundErr 0.5428
round 53, feat 240, thresh 0.0000, roundErr 0.4593
round 54, feat 758, thresh 0.0000, roundErr 0.5421
round 55, feat 1695, thresh 0.0652, roundErr 0.4610
round 56, feat 1023, thresh 0.1012, roundErr 0.5369
round 57, feat 813, thresh 0.1347, roundErr 0.5266
round 58, feat 283, thresh 0.0000, roundErr 0.5249
round 59, feat 455, thresh 0.2245, roundErr 0.4590
round 60, feat 100, thresh 0.1565, roundErr 0.5396
round 61, feat 480, thresh 0.0000, roundErr 0.4612
round 62, feat 338, thresh 0.0000, roundErr 0.5385
round 63, feat 250, thresh 0.0000, roundErr 0.4606
round 64, feat 630, thresh 0.0794, roundErr 0.5393
round 65, feat 720, thresh 0.0600, roundErr 0.4620
round 66, feat 562, thresh 0.1113, roundErr 0.5372
round 67, feat 515, thresh 0.0000, roundErr 0.4634
round 68, feat 195, thresh 0.1556, roundErr 0.5386
round 69, feat 2, thresh 0.0528, roundErr 0.4639
round 70, feat 361, thresh 0.1234, roundErr 0.5384
round 71, feat 412, thresh 0.0610, roundErr 0.4630
round 72, feat 143, thresh 0.1185, roundErr 0.5375
round 73, feat 407, thresh 0.0000, roundErr 0.4639
round 74, feat 579, thresh 0.1289, roundErr 0.5368
round 75, feat 785, thresh 0.0378, roundErr 0.4656
round 76, feat 71, thresh 0.0800, roundErr 0.5274
round 77, feat 240, thresh 0.2055, roundErr 0.4640
round 78, feat 344, thresh 0.1755, roundErr 0.5368
round 79, feat 388, thresh 0.0000, roundErr 0.4644
round 80, feat 290, thresh 0.0828, roundErr 0.5358
round 81, feat 249, thresh 0.1303, roundErr 0.4650
round 82, feat 123, thresh 0.0665, roundErr 0.5355
round 83, feat 12, thresh 0.0000, roundErr 0.4653
